"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0221000;"Powiat wałbrzyski";1303;1542;1711;1417;1417;478;456;394;411;604;431;
0222000;"Powiat wołowski";358;370;447;382;358;347;376;344;310;350;364;
0223000;"Powiat wrocławski";1145;1245;1456;1544;1553;1610;1701;1497;1430;1613;1953;
0224000;"Powiat ząbkowicki";612;544;709;574;652;821;596;591;569;600;573;
0225000;"Powiat zgorzelecki";699;741;903;730;751;771;800;577;525;511;564;
0226000;"Powiat złotoryjski";328;421;472;395;394;362;385;344;317;405;392;
0261000;"Powiat m.Jelenia Góra";992;1066;1189;1021;1044;1034;899;935;788;750;775;
0262000;"Powiat m.Legnica";1116;1161;1189;1029;1132;1200;994;1006;870;879;896;
0264000;"Powiat m.Wrocław";7383;8118;9038;9053;9217;9497;9281;7257;7347;7645;8503;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;899;860;819;684;706;709;
0401000;"Powiat aleksandrowski";348;409;470;496;396;451;398;378;448;474;555;
0402000;"Powiat brodnicki";512;599;600;543;572;568;533;466;520;514;603;
0403000;"Powiat bydgoski";890;1081;1166;1176;1104;1071;1096;975;940;954;1108;
0404000;"Powiat chełmiński";359;388;345;362;317;350;316;290;268;294;370;
0405000;"Powiat golubsko-dobrzyński";319;352;377;274;302;336;318;305;290;297;321;
0406000;"Powiat grudziądzki";237;305;305;288;214;279;277;324;232;236;329;
0407000;"Powiat inowrocławski";1527;1510;1702;1442;1355;1460;1375;1197;1079;1044;1319;
0408000;"Powiat lipnowski";463;476;468;392;454;526;424;462;322;471;534;
0409000;"Powiat mogileński";359;385;425;342;317;321;302;318;268;256;319;
0410000;"Powiat nakielski";594;585;733;665;595;597;602;563;493;578;681;
0411000;"Powiat radziejowski";225;270;281;262;262;245;248;284;254;292;360;
0412000;"Powiat rypiński";262;289;314;278;277;299;273;261;253;239;332;
0413000;"Powiat sępoleński";327;423;284;302;315;286;247;242;238;301;311;
0414000;"Powiat świecki";628;764;875;731;603;662;607;589;486;634;606;
0415000;"Powiat toruński";744;870;1006;1000;912;1098;989;880;836;901;1104;
0416000;"Powiat tucholski";338;384;365;375;308;335;320;304;277;336;414;
0417000;"Powiat wąbrzeski";195;265;247;273;223;230;245;225;199;207;297;
0418000;"Powiat włocławski";400;464;547;577;551;576;590;489;475;510;582;
0419000;"Powiat żniński";620;570;607;585;487;586;613;502;427;492;573;
0461000;"Powiat m.Bydgoszcz";3529;3712;3885;3648;3819;3698;3415;3230;2880;2753;3028;
0462000;"Powiat m.Grudziądz";831;923;930;827;746;794;679;693;652;601;679;
0463000;"Powiat m.Toruń";2003;2255;2515;2388;2470;2560;2384;1990;1861;1843;1996;
0464000;"Powiat m.Włocławek";777;880;927;898;966;1012;852;730;720;699;757;
0601000;"Powiat bialski";505;562;571;563;606;599;618;487;512;612;739;
0602000;"Powiat biłgorajski";481;585;680;625;564;636;606;556;566;651;821;
0603000;"Powiat chełmski";304;378;433;352;355;396;510;350;334;450;545;
0604000;"Powiat hrubieszowski";309;274;351;255;325;361;363;308;288;337;383;
0605000;"Powiat janowski";230;298;374;219;284;239;317;252;226;280;330;
0606000;"Powiat krasnostawski";293;355;398;337;380;370;376;322;290;394;423;
0607000;"Powiat kraśnicki";430;501;653;515;552;518;520;482;473;544;721;
0608000;"Powiat lubartowski";428;462;558;515;560;527;557;514;476;572;692;
0609000;"Powiat lubelski";871;910;1229;1058;1054;1115;1125;1026;1009;1138;1426;
0610000;"Powiat łęczyński";297;342;360;342;315;314;314;327;271;320;401;
